codigo,descripcion
3000 000 811,EM L PEU 206 / 207-CIT C3
2608619383,DISCO CORTE INOX STD115 CX50D
06013775H0,"AMOLADORA ANG GWS 850W 4 1/2"""
C 31 003/1,F. AIRE VW AMAROK 2.0 10> UE5
66069,CINTA AISLADORA 175 NEGRA 9M
3400 000 255,EM P SCANIAG420/K114/K270/K380
TB 1374/13 X,FILTRO SECADOR AIRE DE FRENOS
3000 000 144,EM L FIORINO/PALIO/PUNTO/SIENA
C 23 107,F.AIRE TOYOTA HILUX 2.5 (UE1)
PU 1046/1 X,COMB M B 712C RA PU1046 (UE1)
DP331013004AR,LIQUIDO REFRIGERANTE OR1LC
W 962,U.S.ACEI DEUTZ-VW (UE10)
06011B60H0,TALADRO GSB 550W RE
130802,LÍQUIDO REFRIGERANTE 12 X 1LT
2608619742,DISCO CORTE STANDARD 115X1.6
HU 7008 Z,ELE ACEI VW AMAROK 2.0TDI UE10
3400 000 313,EM P MB 1417/OH1519
WL7413,FILTRO ACEITE LIVIANO
WF36165,US COMB VW GOL VOYAGE (UE12)
0600910EH0,HIDROLAVADORA GHP220 2100W
WA9644,F.AIRE TOYOTA HILUX 2.5 (UE1)
06112537H0,ROTOMARTILLO GBH 2-26 DRE 800W
94AA711P,AMOLADORA ANGULAR 710W
F0121831JB,FRESADORA 1100W C/ MAL+ACC
142HD,LLAVE PARA CAÑO 142HD
3400 000 797,EM FD CARGO MOTOR CUMMINS-VAG
3000 954 318,EM P MB 1117/1217/1218/1319
PU 941 X,E.COMB. SCANIA P310 (UE10)
WA10550,F AIRE TOYOTA HILUX 2.4 / 2.8
F233,BOMBA FOCUS/ECOSPORT/KUGA/KA
